Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
45500962697,Dép sục nam-nữ phi hành gia kèm charm hot trend trẻ trung phong cách,"139,0k",4k+,nganha399,12%,₫16.680,https://shopee.vn/product/7466021/45500962697,https://s.shopee.vn/2BBHqO0Qbv
7794843617,"Kệ để đồ nhà bếp, kệ để lò vi sóng nhiều tầng ( 3-4-5 tầng ) tiện lợi,khung sắt sơn tĩnh điện 25x25mm, mặt gỗ chắc chắn","250,0k",1k+,Nội thất 5C ,7%,₫17.500,https://shopee.vn/product/60585703/7794843617,https://s.shopee.vn/Ljdf17PKa
15696100774,{HÀNG SIÊU DÀY} Tấm tôn đục lỗ cài móc treo phụ kiện - 1mx50 & 1mx60,"160,0k",4k+,KeSatGiaTotVN,8%,₫12.800,https://shopee.vn/product/562624470/15696100774,https://s.shopee.vn/W33rK6lzd
42509318159,Dép Kẹp Nam Nữ Xỏ Ngón Tông Lào Thái Lan Mũi Tròn Phối 2 Màu Thời Trang Đế Bệt Cao Su Đi Biển,"48,0k",925,Trinh Lê Shop Giày Dép,27%,₫12.960,https://shopee.vn/product/472341408/42509318159,https://s.shopee.vn/16nGP8g0Y
11969764789,Bộ 2 Nhả Kem Đánh Răng Tự Động OENON - Kệ Treo Bàn Chải Đánh Răng Dán Tường Kèm Cốc Và Miếng Dán,"125,0k",100k+,OENON Official,8%,₫10.000,https://shopee.vn/product/491602961/11969764789,https://s.shopee.vn/BQDSi82fb
27025573082,"(NẶNG) Búa Đập Thịt, Dần Thịt 2 Đầu Chất Liệu Thép Không Gỉ Set Cao Cấp, Tiện Dụng Giúp Làm Mềm Thịt","69,0k",2k+,KHO SỈ BẢO QUỲNH,4%,₫2.760,https://shopee.vn/product/716731884/27025573082,https://s.shopee.vn/10zKSF4rym
5968549497,"Giá,kệ để chậu hoa cây cảnh,đồ trang trí gỗ thông không mối mọt KT D90 x C120 x R40","145,0k",10k+,NTHT Official Store,9%,₫13.050,https://shopee.vn/product/41416821/5968549497,https://s.shopee.vn/1BIkeY4Edp
42778483325,Dép sục nam AIZOMR G053T thời trang nam hiện đại chất liệu nhưa EVA mềm mại đàn hồi tốt chống thấm nước,"188,5k",461,AIZOMR Store,15%,₫28.274,https://shopee.vn/product/1253744953/42778483325,https://s.shopee.vn/gMU3d68ek
29112089327,"(RẺ VÔ ĐỊCH) Tủ Nhà Tắm 3 Tầng Treo Tường Không Cần Khoan, Chống Thấm Nước, Tủ Đựng Mỹ Phẩm, Tủ Thuốc Gia Đình","71,0k",10k+,KOKIMO shop,6%,₫4.260,https://shopee.vn/product/416326279/29112089327,https://s.shopee.vn/qfuFw5VJn
16308207877,"Gslife Kệ Để Đồ Tủ Bếp Inox, Giá Đựng Bát Đĩa Đa Năng, Sơn Tĩnh Điện Trắng, Có Ray Trượt","144,5k",5k+,Vnhieyliving,14%,₫20.230,https://shopee.vn/product/422472159/16308207877,https://s.shopee.vn/9fHImAXsOW
24368838885,Gối tựa đầu giường gối tựa lưng công thái học chống đau mỏi lưng cổ chất liệu nỉ nhung mềm mại đàn hồi - Suha decor,"219,0k",5k+,SUHA Home Decor,6%,₫13.140,https://shopee.vn/product/912252169/24368838885,https://s.shopee.vn/9paiyTXF3Z
26129611475,"Dép sục đúc nguyên khối SAHADOR Superstar đế mềm êm chân chống trượt cao 4cm, full size nam nữ SO01","119,0k",10k+,SAHADOR Việt Nam,15%,₫17.850,https://shopee.vn/product/319829316/26129611475,https://s.shopee.vn/9KeSNYZ94U
23722422744,"Khăn Tắm Xuất Hàn Quốc Cao Cấp, Size Lớn 70x140cm - Siêu Mềm Mịn, Siêu Bền","28,0k",30k+,Gia Dụng Thành Đạt 247,6%,₫1.680,https://shopee.vn/product/736015111/23722422744,https://s.shopee.vn/9UxsZrYVjX
27041370670,Điện thoại Apple iPhone 17 Pro Max 256GB,"38,0tr",10k+,Apple Flagship Store,4%,₫1.519.600,https://shopee.vn/product/88201679/27041370670,https://s.shopee.vn/AKWzZOVL2i
17482981750,"Thùng rác treo tủ bếp có ruột rời nút bấm thông minh tiện dụng, dán tường phòng tắm, toilet có quai xách Parroti - BN01","249,0k",40k+,Parroti Official Store,9%,₫22.410,https://shopee.vn/product/205948917/17482981750,https://s.shopee.vn/AUqPlhUhhl
